,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_lamda,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1,0.0088346799214681,6.047884623209635e-05,-5.632963545051056,-5.487277785991002,0.05,0.01,"{'eta': 0.05, 'lamda': 0.01}",14,-5.399340971092247,-5.441062862170026,-5.643315007146746,-5.493393449200694,-5.856234656914173,-5.527377046602286,0.0005305728702420424,1.1894408501860113e-06,0.18666962725918604,0.03550197751226776
2,0.010212182998657227,6.230672200520833e-05,-5.955745237014134,-5.827024070323375,0.05,0.1,"{'eta': 0.05, 'lamda': 0.1}",15,-5.602352622218701,-5.797335209913624,-6.028212587714742,-5.840715205922276,-6.236670501108959,-5.843021795134227,0.0012541567093463624,4.899036091938795e-07,0.2639803408818323,0.0210143032681786
23,0.007481098175048828,3.902117411295573e-05,-7.124981880100411,-7.054805320790902,0.3,0.5,"{'eta': 0.3, 'lamda': 0.5}",16,-6.418244554606781,-7.119467845086592,-7.437454073348164,-7.063241689147274,-7.519247012346293,-6.981706428138842,0.00044174971728767426,9.602742174144245e-07,0.5008531099713147,0.05655635085556274
18,0.009454170862833658,0.00010649363199869792,-7.124983033469901,-7.054806388339878,0.2,0.5,"{'eta': 0.2, 'lamda': 0.5}",17,-6.418244784222919,-7.119468582930605,-7.437455383598696,-7.063242596775118,-7.5192489325880905,-6.9817079853139115,0.0004640415854434783,3.5965837561044024e-05,0.5008537783129842,0.05655600630348186
13,0.008156458536783854,5.0226847330729164e-05,-7.125022071552551,-7.054843519877728,0.15,0.5,"{'eta': 0.15, 'lamda': 0.5}",18,-6.418259871461021,-7.119496641225319,-7.4374996748482785,-7.063278607095453,-7.51930666834835,-6.981755311312413,0.000239788754186015,2.9544242692694834e-06,0.5008710423885202,0.05654810055060484
8,0.00797271728515625,5.253156026204427e-05,-7.126374147883904,-7.056158864750366,0.1,0.5,"{'eta': 0.1, 'lamda': 0.5}",19,-6.419031845204454,-7.1206286454817915,-7.439006485926484,-7.064621293771209,-7.521084112520775,-6.983226654998099,0.0005568474376271447,5.4099948962903044e-06,0.5012876978786653,0.05641238797710902
3,0.012093544006347656,0.0001117388407389323,-7.1712929459626205,-7.100873433587363,0.05,0.5,"{'eta': 0.05, 'lamda': 0.5}",20,-6.451735712987058,-7.164645639755282,-7.487700431837269,-7.110296099270151,-7.574442693063532,-7.027678561736656,0.002886656928317327,4.991490334712317e-05,0.5100346482454217,0.056312136564375205
19,0.010370810826619467,6.628036499023438e-05,-8.312506734544526,-8.277843722852404,0.2,1,"{'eta': 0.2, 'lamda': 1}",21,-7.391031200932597,-8.424751866518754,-8.818077733991016,-8.261702703346794,-8.728411268709962,-8.147076598691669,0.0005219869505387202,8.820413403812729e-06,0.6526090652312662,0.11393357121212135
24,0.008443117141723633,4.4345855712890625e-05,-8.312506734619333,-8.27784372292551,0.3,1,"{'eta': 0.3, 'lamda': 1}",22,-7.391031200935399,-8.424751866517795,-8.81807773408147,-8.261702703425659,-8.728411268841134,-8.147076598833078,0.0008627911489975307,4.07874661139054e-06,0.6526090652811704,0.11393357115388425
14,0.007919549942016602,5.634625752766927e-05,-8.312506738630995,-8.27784372667382,0.15,1,"{'eta': 0.15, 'lamda': 1}",23,-7.391031200976154,-8.424751869199744,-8.818077739544037,-8.261702706876756,-8.728411275372794,-8.147076603944964,0.00043284239147258223,1.3249343731409231e-05,0.6526090680601224,0.1139335701879099
9,0.007848103841145834,5.261103312174479e-05,-8.312510239306697,-8.277847095282606,0.1,1,"{'eta': 0.1, 'lamda': 1}",24,-7.391032633145475,-8.424754704683188,-8.818081970754829,-8.261706118371343,-8.728416114019785,-8.147080462793287,0.0007309268267790365,2.3548654540426023e-06,0.6526105145023171,0.11393315146470842
4,0.010861873626708984,6.365776062011719e-05,-8.314634523973965,-8.279948900157667,0.05,1,"{'eta': 0.05, 'lamda': 1}",25,-7.392443966313279,-8.42683973087784,-8.820462945571743,-8.263848255565795,-8.730996660036874,-8.149158714029365,0.0019394444167167126,5.519789172549355e-06,0.6531092928143789,0.11393305006802881
