,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.033426920572916664,5.340576171875e-05,0.8571428571428571,0.8658008658008658,1,0.05,0.1,0.5,"{'C': 1, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.5}",9,0.8896103896103896,0.8474025974025975,0.8571428571428572,0.8733766233766235,0.8246753246753248,0.8766233766233766,0.001275659483211486,4.561215989520309e-06,0.02650962925090016,0.013076889581812289
11,0.032775163650512695,5.173683166503906e-05,0.8571428571428571,0.8614718614718614,1,0.05,0.1,0.4,"{'C': 1, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.4}",9,0.8896103896103896,0.8441558441558442,0.8571428571428572,0.8636363636363636,0.8246753246753248,0.8766233766233766,0.0005154412280810166,5.150429962800233e-07,0.02650962925090016,0.013342887452313783
12,0.0327756404876709,5.3087870279947914e-05,0.854978354978355,0.8647186147186149,2,0.1,0.1,0.4,"{'C': 2, 'eta': 0.1, 'lamda': 0.1, 'threshold': 0.4}",13,0.8896103896103896,0.8506493506493507,0.8506493506493507,0.8668831168831169,0.8246753246753248,0.8766233766233766,0.0010868846073394918,2.3387176147400797e-06,0.02668577490462757,0.010713739108887088
13,0.03289119402567545,5.125999450683594e-05,0.8528138528138528,0.8777056277056277,2,0.05,0.5,0.4,"{'C': 2, 'eta': 0.05, 'lamda': 0.5, 'threshold': 0.4}",14,0.8636363636363636,0.8636363636363636,0.8506493506493507,0.8896103896103896,0.8441558441558442,0.8798701298701299,0.000814686723724777,2.0323931141764992e-06,0.008098825512497692,0.010713739108887088
14,0.032829999923706055,6.0717264811197914e-05,0.8506493506493507,0.8722943722943723,1,0.1,0,0.4,"{'C': 1, 'eta': 0.1, 'lamda': 0, 'threshold': 0.4}",15,0.8766233766233766,0.8668831168831169,0.8246753246753248,0.8798701298701299,0.8506493506493507,0.8701298701298702,0.0006385779235955069,1.4050298138052346e-05,0.021207703400720118,0.005518419387005176
15,0.03261971473693848,8.0108642578125e-05,0.8506493506493507,0.8744588744588745,1,0.02,0.5,0.4,"{'C': 1, 'eta': 0.02, 'lamda': 0.5, 'threshold': 0.4}",15,0.8701298701298702,0.8668831168831169,0.8376623376623377,0.8798701298701299,0.8441558441558442,0.8766233766233766,0.0007007916858517646,4.130677857372307e-05,0.014027577269281104,0.005518419387005176
16,0.03189547856648763,5.070368448893229e-05,0.8441558441558441,0.8484848484848486,1,0.05,0,0.5,"{'C': 1, 'eta': 0.05, 'lamda': 0, 'threshold': 0.5}",17,0.8636363636363636,0.8441558441558442,0.8376623376623377,0.8474025974025975,0.8311688311688312,0.8538961038961039,0.00024151636003628618,1.1239159602905073e-06,0.01402757726928107,0.004049412756248841
17,0.034737586975097656,6.119410196940105e-05,0.8441558441558441,0.8506493506493507,1,0.05,0,0.4,"{'C': 1, 'eta': 0.05, 'lamda': 0, 'threshold': 0.4}",17,0.8636363636363636,0.8474025974025975,0.8376623376623377,0.8506493506493507,0.8311688311688312,0.8538961038961039,0.0025339052333371243,8.586011782372479e-06,0.01402757726928107,0.002650962925089998
18,0.03360605239868164,5.3723653157552086e-05,0.8441558441558441,0.8636363636363636,1,0.1,0,0.5,"{'C': 1, 'eta': 0.1, 'lamda': 0, 'threshold': 0.5}",17,0.8766233766233766,0.8636363636363636,0.8116883116883118,0.8701298701298702,0.8441558441558442,0.8571428571428572,0.0010860362239365005,2.6572948292574067e-06,0.02650962925090016,0.005301925850180041
19,0.0327153205871582,7.232030232747395e-05,0.841991341991342,0.8571428571428572,1,0.1,0,0.6,"{'C': 1, 'eta': 0.1, 'lamda': 0, 'threshold': 0.6}",20,0.8766233766233766,0.8538961038961039,0.8051948051948052,0.8701298701298702,0.8441558441558442,0.8474025974025975,0.00026462622169008514,2.9953783653653036e-05,0.0292007306563464,0.009558182755766064
20,0.033260345458984375,5.157788594563802e-05,0.841991341991342,0.8506493506493507,2,0.05,0,0.4,"{'C': 2, 'eta': 0.05, 'lamda': 0, 'threshold': 0.4}",20,0.8766233766233766,0.8441558441558442,0.8116883116883118,0.8636363636363636,0.8376623376623377,0.8441558441558442,0.00196341341518005,1.1239159602905075e-07,0.02668577490462757,0.00918320495047462
21,0.03349836667378744,5.245208740234375e-05,0.8376623376623377,0.8549783549783551,1,0.05,0.5,0.5,"{'C': 1, 'eta': 0.05, 'lamda': 0.5, 'threshold': 0.5}",22,0.8571428571428572,0.8441558441558442,0.8246753246753248,0.8409090909090909,0.8311688311688312,0.8798701298701299,0.0011739088503232068,1.9466795466607238e-07,0.014027577269281069,0.01765098098517326
22,0.036190430323282875,6.810824076334636e-05,0.8354978354978355,0.8495670995670995,2,0.05,0,0.5,"{'C': 2, 'eta': 0.05, 'lamda': 0, 'threshold': 0.5}",23,0.8831168831168832,0.8441558441558442,0.7987012987012988,0.8636363636363636,0.8246753246753248,0.8409090909090909,0.005603579943070524,2.0963066456925563e-05,0.035301961970346504,0.010036383653133864
23,0.0334319273630778,7.184346516927083e-05,0.8311688311688312,0.8690476190476191,2,0.05,0.1,0.4,"{'C': 2, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.4}",24,0.8571428571428572,0.8506493506493507,0.8051948051948052,0.8831168831168832,0.8311688311688312,0.8733766233766235,0.0012620887453947123,1.4755437171014374e-05,0.021207703400720163,0.0136036851623123
24,0.03188077608744303,5.205472310384115e-05,0.8311688311688312,0.8398268398268399,2,0.05,0,0.6,"{'C': 2, 'eta': 0.05, 'lamda': 0, 'threshold': 0.6}",24,0.8701298701298702,0.8246753246753248,0.7987012987012988,0.8506493506493507,0.8246753246753248,0.8441558441558442,0.0006989512271628435,4.052336624139774e-07,0.029519873802999676,0.011036838774010318
25,0.03325200080871582,5.729993184407552e-05,0.8311688311688312,0.8658008658008658,2,0.1,0,0.4,"{'C': 2, 'eta': 0.1, 'lamda': 0, 'threshold': 0.4}",24,0.8636363636363636,0.8441558441558442,0.7792207792207793,0.8766233766233766,0.8506493506493507,0.8766233766233766,0.0010130525410816129,7.83604008671029e-06,0.03711348095126026,0.015305341584124383
26,0.033223470052083336,5.157788594563802e-05,0.8311688311688312,0.8376623376623377,1,0.05,0.5,0.6,"{'C': 1, 'eta': 0.05, 'lamda': 0.5, 'threshold': 0.6}",24,0.8441558441558442,0.8181818181818182,0.8181818181818182,0.8311688311688312,0.8311688311688312,0.8636363636363636,0.001487234130299289,1.251539846104274e-06,0.010603851700360082,0.019116365511532115
27,0.03294150034586588,5.1021575927734375e-05,0.829004329004329,0.8300865800865801,1,0.1,0.5,0.6,"{'C': 1, 'eta': 0.1, 'lamda': 0.5, 'threshold': 0.6}",28,0.8441558441558442,0.8181818181818182,0.8181818181818182,0.8311688311688312,0.8246753246753248,0.8409090909090909,0.0004907484672201146,5.840038639982171e-07,0.011036838774010354,0.009309875830132704
28,0.032728115717569985,7.589658101399739e-05,0.829004329004329,0.8279220779220781,1,0.02,0.5,0.6,"{'C': 1, 'eta': 0.02, 'lamda': 0.5, 'threshold': 0.6}",28,0.8441558441558442,0.8181818181818182,0.8181818181818182,0.8311688311688312,0.8246753246753248,0.8344155844155845,0.0005735360104288777,1.825351630838126e-05,0.011036838774010354,0.007013788634640552
